Dataset ID,Unformatted Answer
361111,The best test AUROC achieved is 0.710. 
361286,The test AUROC of the best trained model is 0.659. 
361070,The test AUROC of the best model is 0.696. 
361278,The test AUROC of the best model is 0.797. 
361093,The test RMSE of the best model is 0.080. 
361094,The best test RMSE is 0.057. 
361288,The test RMSE of the best model is 2.167. 
361072,2.486 
361076,0.603 
361279,The test RMSE of the best-trained model is 0.028. 
361280,The test RMSE of the best model is 2.190. 
