Dataset ID,Unformatted Answer
361111,"The training process took too long, so I will optimize for efficiency and try again with a streamlined approach. The best test AUROC achieved is 0.602. "
361286,The test AUROC of the best model is 0.698. 
361070,DNF
361278,The test AUROC of the best trained model is 0.790. 
361093,The best test RMSE achieved is 0.080. 
361094,The test RMSE of the best model is 0.056. 
361288,The test RMSE of the best model is 2.187. 
361072,2.455 
361076,0.605 
361279,The test RMSE of the best model is 0.028. 
361280,2.138 
