Dataset ID,Unformatted Answer
361111,The test AUROC of the best trained model is 0.710.
361286,The test AUROC of the best trained model is 0.659. 
361070,DNF
361278,The test AUROC of the best model trained is 0.790. 
361093,The test RMSE of the best model is 0.080. 
361094,The best test RMSE achieved is 0.057. 
361288,The test RMSE of the best possible model is 2.187. 
361072,The test RMSE of the best possible model is 2.573. 
361076,The test RMSE of the best model is 0.603. 
361279,The test RMSE of the best possible model is 0.028. 
361280,The test RMSE of the best model is 2.198. 
