Dataset ID,Unformatted Answer
361111,The test AUROC of the best model (XGBoost) is 0.685.
361286,The test AUROC of the best model (Logistic Regression) is 0.720.
361070,The test AUROC of the best model (XGBoost) is 0.711.
361278,The test AUROC of the best model (XGBoost) is 0.798.
361093,The test RMSE of the best model (XGBoost) is 0.078.
361094,The test RMSE of the best model (Random Forest) is 0.120.
361288,The test RMSE of the best model (Random Forest) is 2.146.
361072,The test RMSE of the best model (XGBoost) is 2.268.
361076,The test RMSE of the best model (XGBoost) is 0.598.
361279,The test RMSE of the best model (Random Forest) is 0.028.
361280,The test RMSE of the best model (Random Forest) is 2.150.
