Dataset ID,Unformatted Answer
361111,0.703
361286,The test AUROC of the best model (Lasso) is 0.724.
361070,The test AUROC of the best model (XGBoost) is 0.712.
361278,The test AUROC of the best model (XGBoost) is 0.798.
361093,The test RMSE of the best model (XGBoost) is 0.077.
361094,The test RMSE of the best model (Random Forest) is 0.134.
361288,The test RMSE of the best model (Random Forest) is 2.146.
361072,The test RMSE of the best model (XGBoost) is 2.296.
361076,The test RMSE of the best model (XGBoost) is 0.601.
361279,The test RMSE of the best model (Random Forest) is 0.027.
361280,2.150
